Number of training examples: 12543
Number of validation examples: 2002
Number of testing examples: 2077
The model has 3,205,978 trainable parameters
torch.Size([8866, 100])
BiLSTMPOSTagger(
  (embedding): Embedding(8866, 100, padding_idx=1)
  (lstm): LSTM(100, 256, num_layers=2, dropout=0.25, bidirectional=True)
  (fc): Linear(in_features=512, out_features=18, bias=True)
  (dropout): Dropout(p=0.25, inplace=False)
)
Epoch: 01 | Epoch Time: 4m 36s
	Train Loss: 1.085 | Train Acc: 65.87%
	 Val. Loss: 0.585 |  Val. Acc: 81.22%
Epoch: 02 | Epoch Time: 5m 13s
	Train Loss: 0.428 | Train Acc: 86.31%
	 Val. Loss: 0.457 |  Val. Acc: 84.54%
Epoch: 03 | Epoch Time: 5m 7s
	Train Loss: 0.317 | Train Acc: 89.83%
	 Val. Loss: 0.401 |  Val. Acc: 86.25%
Epoch: 04 | Epoch Time: 4m 46s
	Train Loss: 0.262 | Train Acc: 91.56%
	 Val. Loss: 0.364 |  Val. Acc: 88.98%
Epoch: 05 | Epoch Time: 5m 11s
	Train Loss: 0.228 | Train Acc: 92.68%
	 Val. Loss: 0.355 |  Val. Acc: 88.05%
Epoch: 06 | Epoch Time: 4m 59s
	Train Loss: 0.200 | Train Acc: 93.46%
	 Val. Loss: 0.350 |  Val. Acc: 88.95%
Epoch: 07 | Epoch Time: 4m 50s
	Train Loss: 0.182 | Train Acc: 94.06%
	 Val. Loss: 0.350 |  Val. Acc: 88.38%
Epoch: 08 | Epoch Time: 4m 39s
	Train Loss: 0.164 | Train Acc: 94.67%
	 Val. Loss: 0.334 |  Val. Acc: 89.29%
Epoch: 09 | Epoch Time: 5m 4s
	Train Loss: 0.151 | Train Acc: 95.04%
	 Val. Loss: 0.322 |  Val. Acc: 90.16%
Epoch: 10 | Epoch Time: 5m 1s
	Train Loss: 0.141 | Train Acc: 95.39%
	 Val. Loss: 0.325 |  Val. Acc: 90.19%
Test Loss: 0.364 |  Test Acc: 88.59%
